"Part";"Value";"Device";"Package";"Description";"DNAME";"REVNUM";
"U4";"FT230XQ-R";"FT230XQFN-16";"QFN-16";"Manufacturer Part #: FT230XS-R";"";"";
"U5";"BQ24075RGTT";"BQ2407XQFN-16";"QFN-16_BOT_PAD";"";"";"";
"U6";"74HC2G04GV,125";"74HCT2G04GV,125TTSOP-6";"TTSOP-6";"";"";"";
"U7";"PMV22EN,215";"MOSFET_N-CHANNEL_SINGLESOT-23";"SOT-23";"Mosfet - N-Channel - Single";"";"";
"U8";"PMV160UP,215";"MOSFET_P-CHANNEL_SINGLESOT-23";"SOT-23";"";"";"";
"U9";"MCP3021A5T-E/OT";"MCP3021SOT-23A";"SOT-23A";"";"";"";
"U10";"DS1340Z-33+";"DS1340SOIC-8";"SOIC-8";"";"";"";
"U11";"MCP3424-E/ST";"MCP3424TTSOP-14";"TTSOP-14";"";"";"";
"U12";"MCP3424-E/ST";"MCP3424TTSOP-14";"TTSOP-14";"";"";"";
"U13";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U14";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U15";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U16";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U17";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U18";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U19";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U20";"AT30TSE752-XM8-T";"AT30TSEXXXMSOP-8";"MSOP-8";"";"";"";
"U21";"PMV22EN,215";"MOSFET_N-CHANNEL_SINGLESOT-23";"SOT-23";"Mosfet - N-Channel - Single";"";"";
"X1";"ABLS3-6.000MHZ-D4Y-T";"CRYSTALHC-49";"HC-49/US_SM";"";"";"";
"X2";"ABS25-32.768KHz-1-T";"CRYSTAL8MM_X_3.8MM";"8MM_X_3.8MM";"";"";"";
